;eixo1;eixo2;cor1;cor2;ctr1;ctr2;massa;qualidade_2d
rápido;-0.2305;0.2222;0.5183;0.4817;0.0003;0.0004;0.00246;1.0
sabor;0.3235;0.0399;0.985;0.015;0.0007;0.0;0.00246;1.0
sabão;1.1545;-0.2334;0.9607;0.0393;0.0075;0.0004;0.00211;1.0
sair;-0.1965;-0.3403;0.25;0.75;0.0005;0.0019;0.00492;1.0
salgado;1.1545;-0.2334;0.9607;0.0393;0.0088;0.0004;0.00246;1.0
salvar;-0.2997;0.2449;0.5996;0.4004;0.0003;0.0003;0.0014;1.0
salvação;-0.7844;0.4044;0.79;0.21;0.0012;0.0004;0.0007;1.0
saudável;0.185;0.0855;0.824;0.176;0.0002;0.0001;0.00211;1.0
seguro;0.5082;-0.0208;0.9983;0.0017;0.0007;0.0;0.00105;1.0
seletivo;-0.0089;0.1493;0.0035;0.9965;0.0;0.0001;0.00176;1.0
semana;-0.1785;0.2051;0.4311;0.5689;0.0005;0.0008;0.00562;1.0
sensível;0.6697;-0.074;0.9879;0.0121;0.0017;0.0;0.0014;1.0
sentar;0.0773;0.1209;0.29;0.71;0.0001;0.0002;0.00316;1.0
sentir;-0.3536;0.2627;0.6444;0.3556;0.0021;0.0014;0.00632;1.0
sofrer;-0.1381;0.1918;0.3416;0.6584;0.0001;0.0003;0.00211;1.0
soltar;-1.0283;-0.8018;0.6219;0.3781;0.006;0.0045;0.00211;1.0
sonda;-0.7923;0.0507;0.9959;0.0041;0.0384;0.0002;0.02282;1.0
suco;0.6005;-0.0512;0.9928;0.0072;0.0024;0.0;0.00246;1.0
suplemento;-0.5582;0.33;0.7411;0.2589;0.0176;0.0076;0.02107;1.0
suprir;-0.7844;0.4044;0.79;0.21;0.0023;0.0008;0.0014;1.0
tempero;0.3789;0.0217;0.9967;0.0033;0.0007;0.0;0.00176;1.0
tomar;-0.2997;0.2449;0.5996;0.4004;0.0081;0.0067;0.03371;1.0
tranquilo;0.0773;0.1209;0.29;0.71;0.0001;0.0002;0.00316;1.0
tratamento;-0.1943;0.2103;0.4607;0.5393;0.0008;0.0012;0.00808;1.0
trocar;-0.7844;0.4044;0.79;0.21;0.0017;0.0006;0.00105;1.0
uso;-0.7844;0.4044;0.79;0.21;0.0052;0.0017;0.00316;1.0
uti;-0.7844;0.4044;0.79;0.21;0.0035;0.0011;0.00211;1.0
vender;-0.0089;0.1493;0.0035;0.9965;0.0;0.0001;0.00176;1.0
verdura;0.939;-0.1626;0.9709;0.0291;0.0149;0.0005;0.00632;1.0
verduras;1.1545;-0.2334;0.9607;0.0393;0.0075;0.0004;0.00211;1.0
via;-0.7844;0.4044;0.79;0.21;0.0052;0.0017;0.00316;1.0
vida;-0.5421;0.3247;0.736;0.264;0.0022;0.001;0.00281;1.0
vitamina;-0.3967;0.2768;0.6725;0.3275;0.0007;0.0004;0.00176;1.0
voltar;-0.1381;0.1918;0.3416;0.6584;0.0004;0.0009;0.00737;1.0
vomitar;-0.2142;0.2168;0.4939;0.5061;0.0015;0.0018;0.01194;1.0
vontade;0.5874;-1.3333;0.1625;0.8375;0.0019;0.0123;0.00211;1.0
ácido;0.5082;-0.0208;0.9983;0.0017;0.0007;0.0;0.00105;1.0
água;0.5082;-0.0208;0.9983;0.0017;0.0066;0.0;0.00948;1.0
ótimo;-0.2997;0.2449;0.5996;0.4004;0.0003;0.0003;0.0014;1.0
