forma;parte;score
machucar;G5;-0.3746
magro;G5;0.2902
maior;G5;-0.2182
mal;G5;-0.4584
mandar;G5;-0.3121
manhã;G5;0.3593
manter;G5;-0.8753
mato;G5;-0.1872
medida;G5;-0.1872
medo;G5;0.5616
melhorar;G5;-0.4371
menos;G5;-0.5021
metade;G5;-0.0624
metotrexato;G5;-0.4371
molho;G5;-0.1872
momento;G5;-0.3121
monte;G5;-0.1872
moído;G5;-0.1872
mudar;G5;-0.2235
mundo;G5;0.2382
mão;G5;-0.1872
nariz;G5;0.3593
necessidade;G5;-0.75
noite;G5;0.2902
notar;G5;-0.2496
nunca;G5;-0.2519
nutricionista;G5;0.4034
nutrir;G5;1.3115
náusea;G5;-1.1263
observar;G5;-0.8753
oferecer;G5;-0.4371
ontem;G5;-0.1496
oral;G5;-0.183
ovo;G5;0.3593
paladar;G5;0.6228
parar;G5;-0.6874
parecer;G5;-0.5622
passar;G5;-0.7752
pedaço;G5;-0.1248
pedir;G5;-0.5622
pensar;G5;-0.183
pequeno;G5;0.6228
perceber;G5;-0.4371
perder;G5;-0.8763
perguntar;G5;1.0503
permanecer;G5;-0.1248
período;G5;-0.2496
peso;G5;-0.5678
pesquisar;G5;-0.5622
pessoa;G5;-0.3121
pior;G5;0.4558
praticamente;G5;1.3115
preciso;G5;-0.1872
preferir;G5;-0.1248
preso;G5;0.3088
problema;G5;0.607
procedimento;G5;-0.1872
processo;G5;-0.1872
proibir;G5;-0.1872
puro;G5;0.4558
pó;G5;-0.5622
pôr;G5;-0.1496
qualidade;G5;-0.1872
quantidade;G5;0.6228
queijo;G5;-0.1248
querer;G5;1.0779
questão;G5;-0.6844
quimioterapia;G5;-0.6868
receio;G5;0.2382
recurso;G5;-0.1872
relacionar;G5;-0.4371
relutante;G5;-0.1248
remédio;G5;-1.1265
resolver;G5;-0.2496
respirar;G5;-0.1248
ressecar;G5;-0.2496
restrição;G5;-0.1872
resultado;G5;0.4558
rim;G5;-0.1872
ritmo;G5;-0.1872
ruim;G5;-0.4996
rápido;G5;-0.4371
sabor;G5;-0.4371
sabão;G5;0.2382
sair;G5;0.2387
salgado;G5;0.6228
salvar;G5;2.0673
salvação;G5;-0.1248
saudável;G5;-0.3746
seguro;G5;0.4558
seletivo;G5;-0.3121
semana;G5;0.8073
sensível;G5;-0.2496
sentar;G5;-0.5622
sentir;G5;-0.5466
sofrer;G5;0.2382
soltar;G5;-0.3746
sonda;G5;1.0694
suco;G5;0.1976
suplemento;G5;0.77
suprir;G5;-0.2496
tempero;G5;-0.3121
tomar;G5;0.3898
tranquilo;G5;-0.5622
tratamento;G5;-1.4405
trocar;G5;-0.1872
uso;G5;-0.5622
uti;G5;1.4585
vender;G5;1.7146
verdura;G5;0.3564
verduras;G5;0.2382
via;G5;-0.5622
vida;G5;0.5356
vitamina;G5;-0.3121
voltar;G5;-0.3442
vomitar;G5;-0.5028
vontade;G5;0.2382
ácido;G5;-0.1872
água;G5;0.5384
ótimo;G5;-0.2496
acabar;G6;-0.3781
aceitar;G6;2.7505
acompanhar;G6;-0.2745
acostumar;G6;0.3683
acreditar;G6;0.2356
adaptar;G6;0.3683
adiantar;G6;-0.4858
adolescente;G6;-0.1618
adorar;G6;0.5669
agradecer;G6;-0.3238
ajudar;G6;2.594
alimentação;G6;0.5448
alteração;G6;-0.2428
alto;G6;-0.1618
ambiente;G6;0.3683
amendoim;G6;-0.2428
apetite;G6;1.4876
aprender;G6;-0.2745
apresentar;G6;0.3683
arroz;G6;0.88
arrumar;G6;0.3683
atrapalhar;G6;-0.3238
autismo;G6;-0.2428
azedo;G6;0.7697
açúcar;G6;0.9992
bastante;G6;0.31
bater;G6;-0.4888
beber;G6;-0.4888
bem;G6;-0.38
benefício;G6;-0.2428
besteira;G6;-1.5423
boca;G6;-0.4888
bola;G6;-0.1618
bolo;G6;-0.1618
bonito;G6;-0.2428
botar;G6;-0.2428
braço;G6;-0.2428
brigar;G6;0.3683
básico;G6;-0.4858
cabeça;G6;1.4285
café;G6;0.8652
carne;G6;0.476
casa;G6;-0.3259
casca;G6;-0.3238
cheiro;G6;-1.1353
comer;G6;-0.318
começar;G6;0.7111
comida;G6;-0.9164
